ID,FID_Grilla,ROW,COL,LAT,LON,AREA,Dias,Seg,PM25(g/proyecto),PM25 (E(g/d)),PM25(g),PM25(t),PM10(g/proyecto),PM10 (E(g/d)),PM10(g),PM10(t)
25,508,25,32,4.576202,-74.116936,6.911,798,31600800,873.5725152,1.0947024,134.6483952,0.0001346483952,2839.1106744,3.5577828,437.6072844,0.0004376072844
26,508,25,32,4.576202,-74.116936,6.911,798,31600800,873.5725152,1.0947024,134.6483952,0.0001346483952,2839.1106744,3.5577828,437.6072844,0.0004376072844
27,2005,25,37,4.576202,-74.07196,8624.75,433,17146800,591547.4532,1366.1604,206290.2204,0.2062902204,1922529.2229,4440.0213,670443.2163,0.6704432163
28,2010,25,33,4.576202,-74.107941,215306.0,348,13780800,11868355.6992,34104.4704,7707610.3104,7.7076103104,38572156.0224,110839.5288,25049733.5088,25.0497335088
29,511,25,25,4.576202,-74.179893,1600.0,87,3445200,22049.28,253.44,22049.28,0.02204928,71660.16,823.68,71660.16,0.07166016
30,2006,26,35,4.585175,-74.089951,42.829,892,35323200,6051.4293312,6.7841136,1770.6536496,0.0017706536496,19667.1453264,22.0483692,5754.6243612,0.0057546243612
31,2017,26,28,4.585175,-74.152908,23345.74,362,14335200,1338663.40819,3697.965216,647143.9128,0.6471439128,4350656.07662,12018.386952,2103217.7166,2.1032177166
32,2008,26,33,4.585175,-74.107941,1663.34,318,12592800,83784.431808,263.473056,12119.760576,0.012119760576,272299.403376,856.287432,39389.221872,0.039389221872
33,2006,26,35,4.585175,-74.089951,24689.27,4693,185842800,18353292.267,3910.780368,1020713.67605,1.02071367605,59648199.8678,12710.036196,3317319.44716,3.31731944716
34,2006,26,35,4.585175,-74.089951,3625.0,440,17424000,252648.0,574.2,76368.6,0.0763686,821106.0,1866.15,248197.95,0.24819795
35,2018,26,27,4.585175,-74.161903,9934.77,955,37818000,1502852.52744,1573.667568,410727.235248,0.410727235248,4884270.71418,5114.419596,1334863.51456,1.33486351456
36,2018,26,27,4.585175,-74.161903,128315.0,1088,43084800,22113704.448,20325.096,5304850.056,5.304850056,71869539.456,66056.562,17240762.682,17.240762682
37,2004,26,36,4.585175,-74.080956,10.0,261,10335600,413.424,1.584,64.944,6.4944e-05,1343.628,5.148,211.068,0.000211068
38,2102,27,27,4.594131,-74.161903,45319.64,765,30294000,5491652.69664,7178.630976,1005008.33664,1.00500833664,17847871.2641,23330.550672,3266277.09408,3.26627709408
39,2116,27,36,4.594131,-74.080956,11192.0,262,10375200,464476.9536,1772.8128,411292.5696,0.4112925696,1509550.0992,5761.6416,1336700.8512,1.3367008512
40,2113,27,33,4.594131,-74.107941,43465.1,258,10216800,1776296.93472,6884.87184,1053385.39152,1.05338539152,5772965.03784,22375.83348,3423502.52244,3.42350252244
41,2113,27,33,4.594131,-74.107941,43465.1,173,6850800,1191082.82832,6884.87184,440631.79776,0.44063179776,3871019.19204,22375.83348,1432053.34272,1.43205334272
42,2111,27,35,4.594131,-74.089951,22.616,723,28630800,2590.0566912,3.5823744,265.0957056,0.0002650957056,8417.6842464,11.6427168,861.5610432,0.0008615610432
43,2107,27,32,4.594131,-74.116936,352.11,140,5544000,7808.39136,55.774224,7808.39136,0.00780839136,25377.27192,181.266228,25377.27192,0.02537727192
44,2105,27,29,4.594131,-74.143913,9211.0,340,13464000,496067.616,1459.0224,369132.6672,0.3691326672,1612219.752,4741.8228,1199681.1684,1.1996811684
45,2113,27,33,4.594131,-74.107941,6885.51,413,16354800,450444.555792,1090.664784,284663.508624,0.284663508624,1463944.80632,3544.660548,925156.403028,0.925156403028
46,2108,27,31,4.594131,-74.125923,2985.23,482,19087200,227918.728224,472.860432,106393.5972,0.1063935972,740735.866728,1536.796404,345779.1909,0.3457791909
47,2115,27,37,4.594131,-74.07196,43500.0,631,24987600,4347842.4,6890.4,1798394.4,1.7983944,14130487.8,22393.8,5844781.8,5.8447818
48,2112,27,34,4.594131,-74.098946,1403.0,119,4712400,26445.9888,222.2352,11778.4656,0.0117784656,85949.4636,722.2644,38280.0132,0.0382800132
49,2101,27,28,4.594131,-74.152908,2000.0,152,6019200,48153.6,316.8,13622.4,0.0136224,156499.2,1029.6,44272.8,0.0442728
50,2115,27,37,4.594131,-74.07196,442.0,143,5662800,10011.8304,70.0128,10011.8304,0.0100118304,32538.4488,227.5416,32538.4488,0.0325384488
51,2116,27,36,4.594131,-74.080956,13054.69,161,6375600,332925.926256,2067.862896,332925.926256,0.332925926256,1082009.26033,6720.554412,1082009.26033,1.08200926033
52,488,28,38,4.603096,-74.062965,3135.46,270,10692000,134097.35328,496.656864,21356.245152,0.021356245152,435816.39816,1614.134808,69407.796744,0.069407796744
