FID,ROW,COL,LAT,LON,FID_Grilla,FECHA_INI,FECHA_FIN,AREA_m2,Dias,Dias_2014
81.0,30.0,38.0,4.621033,-74.062965,461.0,41487.0,41759.0,12000.0,195.0,86.0
82.0,30.0,35.0,4.621033,-74.089951,2198.0,41495.0,41860.0,1956.0,261.0,158.0
83.0,30.0,35.0,4.621033,-74.089951,2198.0,41659.0,41943.0,35979.82,205.0,205.0
84.0,30.0,37.0,4.621033,-74.07196,2195.0,41183.0,41729.0,6614.98,391.0,64.0
85.0,30.0,34.0,4.621033,-74.098946,463.0,40969.0,41816.0,1544.0,606.0,127.0
86.0,30.0,34.0,4.621033,-74.098946,463.0,41395.0,41760.0,984.75,262.0,87.0
87.0,30.0,36.0,4.621033,-74.080956,462.0,41682.0,41923.0,43465.1,173.0,173.0
88.0,30.0,24.0,4.621033,-74.188889,2215.0,41687.0,42094.0,11992.92,292.0,228.0
89.0,30.0,32.0,4.621033,-74.116936,464.0,41624.0,41992.0,9630.0,265.0,253.0
90.0,30.0,36.0,4.621033,-74.080956,462.0,41536.0,41777.0,10600.0,172.0,98.0
91.0,30.0,36.0,4.621033,-74.080956,462.0,41681.0,42046.0,3100.0,262.0,232.0
92.0,31.0,38.0,4.629997,-74.062965,2350.0,41568.0,41872.0,14249.96,219.0,167.0
93.0,31.0,38.0,4.629997,-74.062965,2350.0,41519.0,41973.0,10291.0,325.0,238.0
94.0,31.0,33.0,4.629997,-74.107941,2340.0,41369.0,41675.0,14329.0,219.0,26.0
95.0,31.0,24.0,4.629997,-74.188889,2310.0,41701.0,42124.0,7920.72,304.0,218.0
96.0,31.0,36.0,4.629997,-74.080956,2345.0,41631.0,42361.0,13599.0,523.0,261.0
97.0,31.0,26.0,4.629997,-74.170898,2316.0,41640.0,42004.0,41855.13,261.0,261.0
98.0,31.0,25.0,4.629997,-74.179893,2317.0,41306.0,42062.0,22.657,541.0,261.0
99.0,31.0,26.0,4.629997,-74.170898,2316.0,41075.0,41662.0,21.219,420.0,17.0
